store_nbr,item_nbr,unit_sales,cluster
1,103665,2.5,0
1,105574,6.0,0
1,105575,10.5,0
1,105577,2.0,0
1,105693,2.0,0
1,105737,1.5,0
1,105857,8.0,0
1,106716,2.0,0
1,108696,3.0,0
1,108698,4.5,0
1,108701,3.0,0
1,108786,2.0,0
1,108797,1.5,0
1,108831,35.543,3
1,108862,1.0,0
1,108952,4.5,0
1,111223,5.5,0
1,111397,11.5,0
1,112830,2.0,0
1,114778,16.0,0
1,114790,6.0,0
1,114799,1.0,0
1,114800,8.5,0
1,115267,4.5,0
1,115611,50.0,3
1,115693,4.5,0
1,115720,1.0,0
1,115847,7.0,0
1,115850,2.0,0
1,115891,5.0,0
1,115892,20.5,3
1,115893,12.0,0
1,115894,11.0,0
1,116017,9.5,0
1,116018,8.0,0
1,116279,1.0,0
1,116311,2.0,0
1,119023,2.0,0
1,119024,6.5,0
1,119141,7.5,0
1,119187,1.0,0
1,119191,9.5,0
1,119624,4.5,0
1,121964,1.0,0
1,122095,1.0,0
1,122419,2.0,0
1,122425,1.0,0
1,123347,3.0,0
1,123601,3.5,0
1,125430,4.0,0
1,127534,2.5,0
1,127547,11.0,0
1,129296,1.0,0
1,129297,3.5,0
1,129635,22.0,3
1,129758,6.5,0
1,153078,7.5,0
1,153267,15.0,0
1,153395,4.0,0
1,153398,3.5,0
1,155601,1.0,0
1,155610,3.5,0
1,155621,1.5,0
1,155625,2.0,0
1,158680,5.0,0
1,158788,5.0,0
1,158789,8.0,0
1,158842,1.0,0
1,158875,2.5,0
1,158956,7.0,0
1,159156,67.1625,2
1,159242,8.0,0
1,162066,5.0,0
1,164036,7.0,0
1,164037,2.5,0
1,164088,6.0,0
1,164647,2.5,0
1,165550,10.5,0
1,165551,11.0,0
1,165553,9.0,0
1,165594,8.0,0
1,165704,6.0,0
1,165705,4.5,0
1,165718,5.0,0
1,165727,3.0,0
1,165988,7.0,0
1,167437,4.0,0
1,168927,16.5,0
1,168930,23.0,3
1,168989,3.0,0
1,169028,3.0,0
1,169101,1.0,0
1,170791,6.0,0
1,172184,4.0,0
1,172343,15.0,0
1,173111,4.0,0
1,173113,2.0,0
1,174081,15.5,0
1,177050,2.0,0
1,177395,1.5,0
1,179274,9.0,0
1,179564,2.0,0
1,179615,12.0,0
1,205387,4.5,0
1,205486,5.0,0
1,205557,3.0,0
1,207857,3.5,0
1,208384,28.0,3
1,208386,7.0,0
1,208426,4.0,0
1,208498,7.0,0
1,208514,1.0,0
1,208539,2.011,0
1,208659,3.0,0
1,208699,4.0,0
1,209085,6.0,0
1,210520,2.0,0
1,210798,4.0,0
1,211205,1.5,0
1,211206,3.0,0
1,211999,1.5,0
1,212550,1.0,0
1,213066,4.0,0
1,213652,37.5,3
1,213653,2.0,0
1,213788,1.0,0
1,214381,10.0,0
1,214860,4.5,0
1,214862,1.0,0
1,215303,2.5,0
1,215327,8.5,0
1,215332,2.0,0
1,215352,14.5,0
1,215356,3.5,0
1,215468,3.0,0
1,215896,9.5,0
1,218726,1.0,0
1,219147,2.5,0
1,219150,35.5,3
1,220435,21.5,3
1,220613,5.5,0
1,221506,7.0,0
1,222879,8.5,0
1,222975,2.0,0
1,223068,1.0,0
1,223136,4.0,0
1,223434,5.0,0
1,223463,2.0,0
1,226126,1.0,0
1,226857,23.5,3
1,227111,7.0,0
1,227728,6.5,0
1,229368,6.0,0
1,246052,2.0,0
1,250782,2.0,0
1,252698,6.9935,0
1,252970,3.5,0
1,252972,3.5,0
1,253145,2.5,0
1,255161,2.0,0
1,255202,4.0,0
1,257847,20.5,3
1,257848,13.0,0
1,258268,5.5,0
1,258376,6.5,0
1,258395,2.0,0
1,258396,10.0,0
1,258411,4.0,0
1,258537,1.0,0
1,260669,3.5,0
1,260893,11.0,0
1,261052,17.0,0
1,261053,5.0,0
1,261700,3.0,0
1,262358,1.5,0
1,262991,4.5,0
1,264299,1.0,0
1,264300,1.0,0
1,264452,3.0,0
1,264576,4.5,0
1,264751,1.5,0
1,264752,3.0,0
1,264753,7.0,0
1,265086,4.0,0
1,265237,7.5,0
1,265254,17.0,0
1,265258,2.5,0
1,265266,1.0,0
1,265279,8.5,0
1,265382,3.5,0
1,265559,30.5,3
1,265672,1.0,0
1,265700,2.5,0
1,268440,5.0,0
1,268443,22.5,3
1,268623,14.5,0
1,268662,4.0,0
1,268664,5.0,0
1,268676,3.5,0
1,269029,8.0,0
1,269084,9.0,0
1,269286,2.0,0
1,270522,1.0,0
1,271478,1.5,0
1,271479,9.5,0
1,273528,16.5,0
1,273859,2.0,0
1,275823,3.0,0
1,278806,3.0,0
1,279137,1.0,0
1,279157,12.0,0
1,279494,2.0,0
1,302952,9.0,0
1,302997,1.0,0
1,302998,5.0,0
1,305079,10.0,0
1,305080,24.5,3
1,305081,2.0,0
1,305227,3.5,0
1,305229,45.5,3
1,305341,15.0,0
1,305344,8.5,0
1,305345,4.0,0
1,307740,1.0,0
1,308726,2.0,0
1,308766,1.0,0
1,308924,4.0,0
1,310644,27.0,3
1,310647,1.0,0
1,310671,7.0,0
1,311954,5.0,0
1,311994,35.1535,3
1,312113,1.5,0
1,312324,5.0,0
1,312596,1.0,0
1,314384,35.0,3
1,314570,2.0,0
1,314881,6.0,0
1,315176,17.5,0
1,315178,10.0,0
1,315179,32.0,3
1,315180,18.0,3
1,315220,8.5,0
1,315221,4.5,0
1,315277,7.5,0
1,315279,1.0,0
1,315320,3.5,0
1,315322,4.0,0
1,315460,2.0,0
1,315463,3.0,0
1,315474,5.0,0
1,315712,9.0,0
1,315713,2.0,0
1,317147,1.0,0
1,317285,7.0,0
1,318787,2.0,0
1,318847,4.5,0
1,318932,2.0,0
1,318935,5.0,0
1,319093,3.5,0
1,319094,2.5,0
1,319095,3.5,0
1,320682,26.0,3
1,322095,4.5,0
1,323013,12.0,0
1,323921,12.5,0
1,324206,1.0,0
1,329070,2.0,0
1,329071,5.0,0
1,329362,5.0,0
1,329397,3.0,0
1,346065,16.0,0
1,346066,1.5,0
1,352513,2.0,0
1,354922,1.0,0
1,355090,3.5,0
1,355091,5.5,0
1,357963,5.0,0
1,357996,4.5,0
1,358096,2.5,0
1,358231,12.0,0
1,358232,8.0,0
1,358264,2.0,0
1,358272,6.0,0
1,358515,1.5,0
1,358519,4.0,0
1,358561,1.0,0
1,358564,1.0,0
1,359913,4.5,0
1,360313,5.0,0
1,360314,10.0,0
1,360703,13.5,0
1,360704,5.0,0
1,361502,4.5,0
1,362035,1.0,0
1,362548,2.5,0
1,363049,3.0,0
1,363868,14.5,0
1,363889,2.0,0
1,363895,3.0,0
1,364413,1.0,0
1,364606,62.0,2
1,364724,1.5,0
1,364738,45.0,3
1,364829,3.0,0
1,364832,4.0,0
1,364834,4.5,0
1,364865,7.0,0
1,365138,2.0,0
1,365139,2.5,0
1,365140,2.0,0
1,365264,5.0,0
1,368136,4.5,0
1,368140,5.0,0
1,368213,4.0,0
1,368260,4.0,0
1,368419,3.0,0
1,368424,5.0,0
1,368624,2.5,0
1,368628,24.0,3
1,369432,3.0,0
1,370042,9.0,0
1,371130,8.5,0
1,371218,4.5,0
1,371434,1.0,0
1,371437,9.5,0
1,371438,5.0,0
1,372480,1.0,0
1,372924,6.0,0
1,373152,14.5,0
1,374464,3.5,0
1,376427,8.0,0
1,378332,1.0,0
1,378685,38.5,3
1,401817,14.5,0
1,401911,1.0,0
1,402136,6.5,0
1,402174,2.0,0
1,402175,4.5,0
1,404336,5.0,0
1,405304,2.5,0
1,406965,4.0,0
1,407499,17.0,0
1,407608,1.5,0
1,407769,6.0,0
1,409738,7.5,0
1,409739,3.5,0
1,409904,7.0,0
1,410257,19.0,3
1,410866,1.0,0
1,411487,5.5,0
1,411555,2.5,0
1,413986,2.5,0
1,413987,6.5,0
1,414305,1.5,0
1,414353,16.0,0
1,414354,3.0,0
1,414421,1.0,0
1,414425,1.0,0
1,414426,2.0,0
1,414454,7.0,0
1,414478,6.0,0
1,414620,18.5,3
1,414621,11.0,0
1,414623,6.0,0
1,414750,21.0,3
1,414752,3.5,0
1,414888,5.5,0
1,416252,9.0,0
1,417765,22.5,3
1,417835,3.0,0
1,418024,1.0,0
1,418025,5.0,0
1,418026,2.5,0
1,418235,16.0,0
1,420720,5.0,0
1,421066,4.0,0
1,422452,1.5,0
1,426155,7.0,0
1,428054,1.5,0
1,428394,1.5,0
1,452022,1.0,0
1,452212,8.0,0
1,454326,4.5,0
1,454426,2.0,0
1,454589,15.0,0
1,454596,2.0,0
1,456870,3.0,0
1,456875,4.0,0
1,457424,16.0,0
1,457425,4.0,0
1,457556,8.0,0
1,457688,1.0,0
1,457928,15.3725,0
1,459762,3.5,0
1,460804,2.0,0
1,461432,3.0,0
1,462673,4.0,0
1,463458,3.0,0
1,463598,1.0,0
1,463816,1.0,0
1,463901,3.5,0
1,463903,5.0,0
1,464112,1.0,0
1,464302,1.0,0
1,464333,1.5,0
1,464336,4.5,0
1,464339,4.0,0
1,464356,2.5,0
1,464374,28.5,3
1,464385,4.5,0
1,464536,5.5,0
1,464906,1.0,0
1,464940,4.5,0
1,467808,4.5,0
1,468057,3.0,0
1,468058,1.0,0
1,469643,3.0,0
1,470624,7.0,0
1,470625,7.5,0
1,470762,1.5,0
1,471980,7.0,0
1,471985,6.5,0
1,472526,2.0,0
1,472658,1.0,0
1,476261,11.5,0
1,476707,2.0,0
1,502224,2.0,0
1,502227,5.0,0
1,502230,11.5,0
1,502331,26.0,3
1,506717,1.0,0
1,507354,1.5965,0
1,507457,7.5,0
1,507478,17.5,0
1,507479,2.0,0
1,507641,4.5,0
1,507867,2.0,0
1,507870,4.0,0
1,507927,1.5,0
1,507958,1.287,0
1,507969,17.343,0
1,508069,7.0,0
1,508947,18.0,3
1,510054,20.0,3
1,510055,7.0,0
1,510057,3.0,0
1,513379,2.0,0
1,513853,1.0,0
1,513855,8.5,0
1,514144,5.0,0
1,514149,3.5,0
1,514172,10.5,0
1,514242,5.0,0
1,514327,11.0,0
1,514446,1.0,0
1,514597,3.0,0
1,514729,3.0,0
1,514757,4.0,0
1,517615,3.0,0
1,517903,4.0,0
1,517904,2.5,0
1,517905,2.5,0
1,517906,2.0,0
1,517909,3.2845000000000004,0
1,518091,14.0,0
1,518094,20.5,3
1,519560,3.8230000000000004,0
1,521818,3.0,0
1,522383,4.5,0
1,522721,3.0,0
1,522941,5.0,0
1,523054,2.5,0
1,525887,2.0,0
1,525902,7.0,0
1,527757,4.5,0
1,554048,5.5,0
1,554049,10.0,0
1,554143,7.0,0
1,556698,9.5,0
1,557256,21.5,3
1,557257,19.5,3
1,557285,3.0,0
1,557286,5.5,0
1,557305,6.5,0
1,557408,9.5,0
1,557420,17.5,0
1,557810,3.0,0
1,558730,6.0,0
1,559044,4.5,0
1,559494,4.5,0
1,559680,1.0,0
1,559682,7.0,0
1,559870,11.0,0
1,559872,4.5,0
1,559873,9.0,0
1,563654,5.5,0
1,563966,8.5,0
1,564110,7.0,0
1,564272,3.5,0
1,564274,3.0,0
1,564287,22.5,3
1,564288,10.0,0
1,564533,18.5,3
1,564534,8.5,0
1,567579,2.0,0
1,567588,9.0,0
1,567623,6.5,0
1,567644,3.0,0
1,567778,2.0,0
1,567779,2.0,0
1,567787,2.5,0
1,568133,2.5,0
1,570869,1.0,0
1,570917,3.0,0
1,570922,2.5,0
1,572838,19.0,3
1,574898,2.5,0
1,575630,5.0,0
1,575863,3.5,0
1,575875,10.0,0
1,575876,11.5,0
1,577740,2.0,0
1,577741,5.5,0
1,577743,3.0,0
1,577745,5.5,0
1,578097,22.5,3
1,578467,1.5,0
1,580929,3.0,0
1,581078,19.5,3
1,581742,3.5,0
1,582863,12.877,0
1,582864,25.060499999999998,3
1,582865,15.808,0
1,583795,12.977,0
1,583797,5.541,0
1,583799,14.7105,0
1,583868,10.138,0
1,583925,6.3235,0
1,583931,6.0345,0
1,583973,0.605,0
1,584026,3.074,0
1,584027,12.6345,0
1,584028,58.2825,3
1,584076,6.9785,0
1,584078,4.2455,0
1,584099,5.0075,0
1,584188,4.531,0
1,586823,1.0,0
1,586911,2.0,0
1,586969,2.5,0
1,587069,14.0,0
1,587156,6.0,0
1,589403,2.0,0
1,592801,4.0,0
1,592942,1.0,0
1,594045,1.0,0
1,598414,2.5,0
1,598492,1.0,0
1,617096,3.0,0
1,617763,1.0,0
1,619965,2.0,0
1,619969,12.5,0
1,621300,13.5,0
1,623316,3.4755,0
1,627263,2.0,0
1,627887,1.0,0
1,633996,1.238,0
1,633997,2.306,0
1,634008,2.318,0
1,634009,3.8505,0
1,634010,4.0775,0
1,634014,6.314,0
1,634015,14.117,0
1,634054,4.958,0
1,637016,6.0,0
1,638240,3.0,0
1,638296,1.0,0
1,638308,1.0,0
1,638327,3.0,0
1,639586,3.0,0
1,641042,3.5,0
1,645294,2.0,0
1,648313,3.0,0
1,651326,1.0,0
1,651523,15.0,0
1,655427,4.0,0
1,655749,1.0,0
1,657869,2.0,0
1,658608,2.0,0
1,660502,12.5,0
1,660503,6.5,0
1,664537,4.0,0
1,664539,6.5,0
1,664543,3.0,0
1,664545,2.0,0
1,668752,2.5,0
1,668753,1.0,0
1,668754,1.0,0
1,671039,22.5,3
1,671051,3.0,0
1,671079,1.0,0
1,671083,1.5,0
1,671084,2.0,0
1,671684,2.0,0
1,671699,0.7315,0
1,671708,0.4075,0
1,673306,4.0,0
1,675524,5.0,0
1,679926,6.5,0
1,681606,6.5,0
1,682321,1.0,0
1,682884,1.0,0
1,683721,5.5,0
1,683722,2.0,0
1,683723,3.0,0
1,686034,1.0,0
1,686035,1.0,0
1,686036,4.5,0
1,691945,2.5,0
1,692104,4.5,0
1,692105,2.0,0
1,692106,2.0,0
1,692531,2.0,0
1,692537,2.5,0
1,695758,12.203999999999999,0
1,699686,7.4025,0
1,699688,6.256500000000001,0
1,699692,8.0465,0
1,699693,6.170999999999999,0
1,699703,9.609,0
1,700609,8.5,0
1,700610,1.0,0
1,716241,3.0,0
1,716242,1.5,0
1,716245,2.0,0
1,716250,10.0,0
1,723184,13.5,0
1,723210,3.0,0
1,724003,4.0,0
1,724359,5.0,0
1,724360,4.5,0
1,724403,7.5,0
1,724498,3.5,0
1,729337,1.5,0
1,730259,9.0,0
1,732006,4.5,0
1,732007,1.0,0
1,736128,2.5,0
1,740713,2.5,0
